CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Modalidade,UF,RegistroANS
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,03,2024,1082330.1,Cooperativa MÃ©dica,RS,300136
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,03,2024,8211.92,Medicina de Grupo,MG,301728
58119199000151,ODONTOPREV S/A,03,2024,1137184.63,Odontologia de Grupo,SP,301949
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,03,2024,51465.94,Cooperativa MÃ©dica,CE,303178
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,03,2024,1064010.02,Cooperativa MÃ©dica,MG,304344
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,03,2024,2153357.83,Cooperativa MÃ©dica,MT,304468
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,03,2024,2530692.26,Cooperativa MÃ©dica,PR,305227
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,03,2024,3131.38,Odontologia de Grupo,PB,300730
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,03,2024,176320.53,AutogestÃ£o,PE,302627
23031479000129,UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.,03,2024,4671542.12,Cooperativa odontolÃ³gica,AM,311391
73936395000102,UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,03,2024,42793639.31,Cooperativa MÃ©dica,RS,311715
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO,03,2024,10186537.25,Cooperativa MÃ©dica,SP,311944
73809352000166,FUNDAÇÃO SAÚDE ITAÚ,03,2024,802.39,AutogestÃ£o,MG,312126
31432792000105,UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,03,2024,13246.23,Cooperativa MÃ©dica,RJ,312363
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,03,2024,1686960.97,Medicina de Grupo,MG,305626
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,03,2024,477463.39,Cooperativa MÃ©dica,PR,306100
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,03,2024,2352733.41,Cooperativa MÃ©dica,RS,306398
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,03,2024,59283.73,Cooperativa MÃ©dica,SP,306762
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,03,2024,681852.17,AutogestÃ£o,RS,307319
